part_de,part_en,damage_de,damage_en,part_p1,part_p1_en,part_p2,part_p2_en,action,action_en
,,,,,,18 Zoll fehlt,18 inches is missing,,
,,,,,,Großflaechiger Materialabtrag,Large flat material removal,,
,,,,,,Mehrfach,Multiple,,
,,,,,,Stossfaenger hinten,Rear bumper,,
,,,,,,Beklebung sichtbar,Closure visible,,
,,,,,,"Lack verlaufen, Struktur wellig","Lack run, structure wavy",,
,,,,,,Kappe fuer Scheinwerferreinigungsanlage L+R,Cap for headlight cleaning system L + R,,
,,,,,,Rueckbank Links,Rueckbank left,,
,,,,,,Restlaufzeit unter 1000km,Remaining time at 1000km,,
,,,,,,Tuereinstieg VL,Tower entry VL,,
,,,,,,04.2020 faellig,04.2020 Faellig,,
,,,,,,"Veraetzung, Umwelteinfluesse, Kratzer, Steinschlaege","Contribution, environmental influence, scratches, stone slides",,
,,,,,,Randbereich mit Rissbildung,Rand area with cracking,,
,,,,,,Restlaufzeit unter 1000 km,Remaining time below 1000 km,,
,,,,,,Falscher Geschwindigkeitsindex,False speed index,,
,,,,,,Mitte,center,,
,,,,,,inkl. Holzboden erneuern,including wood floor renew,,
,,,,,,Preise laut Etka,Prices according to Etka,,
,,,,,,Teillackierung unterhalb,Partial paint below,,
,,,,,,01 19,01 19,,
,,,,,,Umbauten,Convert,,
,,,,,,Verkleidung innen,Fairing inside,,
,,,,,,Zusatzeinbauten,Additional installations,,
,,,,,,Verschluss,Clasp,,
,,,,,,Abdeckung Schaltknauf,Cover switch knob,,
,,,,,,Dachhimmel,Sky,,
,,,,,,Kleberest,Adhesive test,,
,,,,,,OEffnet nicht,Does not open,,
,,,,,,Abdeckung um den Schaltknauf,Cover around the switch knob,,
,,,,,,Seit 02.2019,Since 02.2019,,
,,,,,,Seit 11.2017,Since 11.2017,,
,,,,,,Faehrt nicht hoch,Does not start up,,
,,,,,,Schaltkulisse Innenraum,Schaltkelisse interior,,
,,,,,,Haltegriff VL,Grab handle VL,,
,,,,,,4 Dellen,4 dents,,
,,,,,,Wasserabweiser VR,Water deflector VR,,
,,,,,,Schließtnicht vollstaendig beim zufallen,Does not close completely when ranking,,
,,,,,,Einstiegsleiste vorne links,Starting bar front left,,
,,,,,,Tuerverkleieung vo re,Tuerverklinung vo Re,,
,,,,,,Griff am Dachhimmel klappt nicht nach oben,Handle on the roof sky does not work up,,
,,,,,,"Fehlermeldung, siehe Unfallkalkulation","Error message, see accident calculation",,
,,,,,,Einstieg,Started,,
,,,,,,Halterung gebrochen,Bracket broken,,
,,,,,,Laesst sich nicht vollstaendig runterklappen,Do not run down completely down,,
,,,,,,Profiltiefe<4 mm,Profile depth <4 mm,,
,,,,,,Exakte Kosten muessen ueber Service ermittelt werden.,Exact costs must be determined via service.,,
,,,,,,Korrosion durch Steinschlag,Corrosion by rockfall,,
,,,,,,Fahrzeug hat w und s vertrag,Vehicle has W and S contract,,
,,,,,,Klemmt,Clamping,,
,,,,,,Mischberreifung,Miscarriage,,
,,,,,,Unterseite,bottom,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Steckdose deckel abgerissen,Socket lid torn off,,
,,,,,,Rechts und links,Right and left,,
,,,,,,Aufkleber links und rechts,Sticker left and right,,
,,,,,,Dammmatte Spritzwand,Dam mat spray wall,,
,,,,,,"Umweltschaeden, Lacktiefenbehandlung, Zusatzkosten moeglich","Environmental charges, lacquer depth treatment, additional costs possible",,
,,,,,,Vorn und seitlich rechts,Front and on the side of the right,,
,,,,,,"Abweichende Lackstrucktur, Schleifspuren sichtbar","Deviating paint print, grinding tracks visible",,
,,,,,,Lackabplatzungen,Lacquer,,
,,,,,,3mm,3mm,,
,,,,,,Mit Kulistifft,With Kulistifft,,
,,,,,,Beule in der Flanke,Bump in the flank,,
,,,,,,4 mm,4 mm,,
,,,,,,2 und 3 mm,2 and 3 mm,,
,,,,,,Lack schleifen und polieren,Lacking and polishing paint,,
,,,,,,"Schleifspuren sichtbar, Staubeinschluesse","Grinding tracks visible, dust inclusion",,
,,,,,,"Lackstruktur, Staubeinschluesse","Paint structure, dust inclusion",,
,,,,,,Dellen,Dents,,
,,,,,,"Lackmangel, welliger Untergrund","Paint deficiency, wavy underground",,
,,,,,,Kofferraumbereich,Trunk area,,
,,,,,,Netz oeffnet sich nicht,Network does not open,,
,,,,,,Unterteil,Lower part,,
,,,,,,"Welliger Untergrund, Dellen","Wavy underground, dents",,
,,,,,,Leicht verformt,Slightly deformed,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Etliche dellen links und rechts,Several dents left and right,,
,,,,,,"Ca 5 kleine, eine tiefe","About 5 small, a depth",,
,,,,,,Verdacht auf starken Hagelschaden,Suspected strong hail damage,,
,,,,,,Modellbezeichnung fehlt,Model name is missing,,
,,,,,,Armlehne,armrest,,
,,,,,,"schleifen und polieren, Folgekosten moeglich","Grinding and polishing, follow-up costs possible",,
,,,,,,Starker Benzingeruch und Benzinverlust,Strong gasoline and gasoline loss,,
,,,,,,Verformt und,Deformed and,,
,,,,,,Beklebung entfernen und,Remove the casting and,,
,,,,,,Sommer 195/55 R 16 .. H,Summer 195/55 R 16 .. H,,
,,,,,,"Randbereich, rissig","Rand area, cracked",,
,,,,,,Lackstaub,Paint dust,,
,,,,,,Delle druecken und,Protect the delle and,,
,,,,,,"Klarlackrisse, Schleifspuren, Staubeinschluesse","Clear paint cracks, grinding tracks, dust inclusion",,
,,,,,,"Tankdeckel nicht passgenau, erhoehter Lackwert","Tank cap not perfect fit, raised lacquer value",,
,,,,,,Schliefen und Polieren,Slept and polish,,
,,,,,,Schleifen und,Grinding,,
,,,,,,Motorraum,Engine room,,
,,,,,,Und Griff,And grip,,
,,,,,,Kappe verformt,Cap deformed,,
,,,,,,Oberflaeche wellig,Oberflaeche wavy,,
,,,,,,Schließt schwergaengig,Closes heavily,,
,,,,,,"Lackmangel, Staubeinschluesse, Schleifspuren","Paint deficiency, dust inclusion, grinding tracks",,
,,,,,,"Lack schleifen und polieren, Folgekosten moeglich","Paint grinding and polishing, follow-up costs possible",,
,,,,,,Schleifen und Polieren und,Grinding and polishing and,,
,,,,,,"Auslegen, Polieren und","Lay out, polish and",,
,,,,,,Luftduese gebrochen,Aerial duese broken,,
,,,,,,Zierblende Mitte beschaedigt,ZierBlende Center Damaged,,
,,,,,,Fussmatte hinten,Rear foot mat,,
,,,,,,Farb reste,Color residues,,
,,,,,,V.l. unten,V.L. below,,
,,,,,,"Standschaden,freibremsen","Standing damage, free brake",,
,,,,,,Blende hinten,Balter behind,,
,,,,,,Schnittverletzung,Cutting,,
,,,,,,Lachstrucktur,Salmon,,
,,,,,,06/20/22,06/20/22,,
,,,,,,Winter. Unter 4mm.,Winter. Under 4mm.,,
,,,,,,seit 168 Tagen,For 168 days,,
,,,,,,Kosten vorbehaltlich,Costs subject to,,
,,,,,,Mit Lackstift versucht auszubessern,With paint pin trying to improve,,
,,,,,,Hochglanz,gloss,,
,,,,,,Tragbild der Bremsscheiben Innenseite,Load image of brake discs inside,,
,,,,,,"Kante, Mehrkosten moeglich.","Edge, additional costs possible.",,
,,,,,,Pruefen. Mehrkosten moeglich.,Check. Additional costs possible.,,
,,,,,,& Steinschlag,Lash,,
,,,,,,Reifen,tires,,
,,,,,,Schaden vor Leasingvertragsbeginn Werkslackierung/Werkswagen,Damage before leasing contract starts Werklackierung / tools,,
,,,,,,W&I Vertrag,W & I contract,,
,,,,,,Klemme von Motorhaubenhalter,Terminal of bonnet holder,,
,,,,,,seit 01/2020.,since 01/2020.,,
,,,,,,Vogelkot und Steinschlaege,Birds and stone slides,,
,,,,,,Vogelkot,Birdcot,,
,,,,,,Kratzer und Lacklaeufer sichtbar,Scratches and paint laeuer visible,,
,,,,,,mit Lackschaden,lacquer,,
,,,,,,Beschaedigung noch vorhanden,Embaming still available,,
,,,,,,groeßer 2 mm,Großer 2 mm,,
,,,,,,Ggf. Folgekosten moeglich,If necessary follow-up costs possible,,
,,,,,,Traglast und Geschwindichkeitsindex zu gering.,Load load and speed index too low.,,
,,,,,,auf Kante. Folgekosten moeglich.,On edge. Subsequent costs possible.,,
,,,,,,Zinkplatzer. Folgekosten moeglich.,Zinc place. Subsequent costs possible.,,
,,,,,,Halteclip,Holding clip,,
,,,,,,Nebelleuchte / Anfahrschaden,Nebelluche / Starting damage,,
,,,,,,gebrochen,Broken,,
,,,,,,Anfahrschaden,Starting damage,,
,,,,,,Anfahrschaden / Lackrisse,Carrying damage / paint cracks,,
,,,,,,Materialabrieb,Material abrasion,,
,,,,,,Staubeinschl. orangenh.Schleifen/Polieren.Folgekosten moeglic,Dust lock. Orangenh.schrenehn / Polishing. Exercise costs Moeglic,,
,,,,,,Sommerreifen. Profiltiefe unter 2mm.,Summer tires. Profile depth under 2mm.,,
,,,,,,Kratzer. Schleifen/Polieren.Folgekosten moeglich,Scratch. Grinding / polishing. Excesses possible,,
,,,,,,Motorkontrolleuchte aktiv,Motor container active active,,
,,,,,,"Korrosion, Delle","Corrosion, delle",,
,,,,,,Teppichboden,Carpet,,
,,,,,,Ohne Rissbildung,Without cracking,,
,,,,,,07/2019,07/2019,,
,,,,,,Chrom,chrome,,
,,,,,,Lackeinschluesse / Lackfinish durchfuehren,Paint influence / paint finish through,,
,,,,,,Restlaufzeit ist unter 30 Tagen,Remaining time is under 30 days,,
,,,,,,Keine XL Reifen,No XL tires,,
,,,,,,Unter gesetzlicher Mindestprofiltiefe,Under legal minimum profile depth,,
,,,,,,Chromleiste Delle,Chrome strip delle,,
,,,,,,"Lack matt,Schleifspuren,Kratzer,Staubeinschluesse.","Paint matt, grinding tracks, scratches, dust inclusion.",,
,,,,,,Vorne rechts Sommerreifen/vorbehaltlich Folgekosten,Front right summer tires / subject to follow-up costs,,
,,,,,,Gitter rechts,Lattice right,,
,,,,,,Zierleiste innen,Trim inside,,
,,,,,,Kappe fehlt,Cap is missing,,
,,,,,,Flanke,Flank,,
,,,,,,Augenscheinlich instandgesetzt,Evidently repaired,,
,,,,,,1119,1119,,
,,,,,,Licht,light,,
,,,,,,Alle sitze,All seats,,
,,,,,,Stumpfer Lack,Stumper lacquer,,
,,,,,,Kein Reparaturbereich,No repair area,,
,,,,,,Blende hinten rechts,Hide rear right,,
,,,,,,Einbrueche und Riefen,Brush and called,,
,,,,,,Großflaechig,Large-scale,,
,,,,,,Unter 4 mm,Under 4 mm,,
,,,,,,Oberflaechlichenkratzer,Superflanky scraper,,
,,,,,,Dekorleiste,Trim,,
,,,,,,Gummimatte,Rubber mat,,
,,,,,,2x fuer Halteband Hutablage,2x for holding tape,,
,,,,,,Teppich,carpet,,
,,,,,,Halter,holder,,
,,,,,,Abplatzung,Chart,,
,,,,,,Geschwindigkeitsindex falsch,Speed ​​Index incorrectly,,
,,,,,,Großflaechige Delle,Large-flavored delle,,
,,,,,,Motorelektronik,Engine electronics,,
,,,,,,Rueckstaende Beklebung sichtbar,Resume cover visible,,
,,,,,,"Welliger Untergrund, Lackmangel, Staubeinschluesse sichtbar","Wavy substrate, paint deficiency, dust closing visible",,
,,,,,,Kratzer innen,Scratch,,
,,,,,,Einstieg vorn links/vorbehaltlich Folgekosten,Entry forward left / subject to subsequent costs,,
,,,,,,"Keine ABE vorhanden, vorbehaltlich Folgekosten","No ABE available, subject to follow-up costs",,
,,,,,,Sommerreifen vorne/rechts,Summer tires front / right,,
,,,,,,"Vorne, hinten fehlt","Front, back missing",,
,,,,,,Mittelkonsole/ Chromrahmen,Center console / chrome frame,,
,,,,,,Ungleichmaeßiger Verschleiß,Uneven wear,,
,,,,,,Keine Sommerreifen,No summer tires,,
,,,,,,"WR statt Sommer, Hintere WR verschlissen, WR Kundeneigentum","Wr instead of summer, rear WR worn, WR customer ownership",,
,,,,,,Lackabloesung,Lacquer,,
,,,,,,Unterhalb/vorbehaltlich Folgekosten,Below / subject to follow-up costs,,
,,,,,,"Standschaden, Freibremsen","Standing damage, free brake",,
,,,,,,Welliger Untergrund,Wavy background,,
,,,,,,Polierspuren,Polishing traces,,
,,,,,,Keine Notlaufeigenschaften,No emergency running properties,,
,,,,,,Hund,dog,,
,,,,,,Einstiegsleiste Beifahrerseite,Starting bar passenger side,,
,,,,,,Inkl. Steinschlag,Including rockfall,,
,,,,,,Trennsteg Kofferraumboden,Dishsteg trunk floor,,
,,,,,,Seit ueber 50000km/vorbehaltlich Folgekosten,Since 50000km / subject to follow-up costs,,
,,,,,,Hundehaare/vorbehaltlich Folgekosten,Dog Hair / Subject to follow-up costs,,
,,,,,,Ummontieren,Mount,,
,,,,,,Vorne links (Fahrer),Front left (driver),,
,,,,,,Hologramme vom polieren/vorbehaltlich Folgekosten,Holograms of polishing / subject to follow-up costs,,
,,,,,,Hologramme vom polieren/ vorbehaltlich Folgekosten,Holograms of polishing / subject to follow-up costs,,
,,,,,,Inkl. Delle,Incl. Delle,,
,,,,,,Schleifspuren sichtbar,Grinding tracks visible,,
,,,,,,Dachhimmel hinten links,Roof sky on the back left,,
,,,,,,Inkl. Batterieabdeckung,Incl. Battery cover,,
,,,,,,Verschlissen,Worn,,
,,,,,,Gummiband,Rubber band,,
,,,,,,Mit Korrosion,Corrosion,,
,,,,,,Profiltiefe geringer wie 4mm,Profile depth smaller like 4mm,,
,,,,,,Loescher,Extinguisher,,
,,,,,,"Orangenhaut,Matt","Orange skin, matt",,
,,,,,,vereinzelte Steinschlaege und Lackmaengel,Scattered stone slides and varnish gel,,
,,,,,,faellig in 700 KM,Faellig in 700 km,,
,,,,,,Nachweis ueber zweiten Service fehlt,Proof of second service is missing,,
,,,,,,Einstieg hinten links,Entry back left,,
,,,,,,Marderschutz,Marten protection,,
,,,,,,Sonnenschutzrollo,Sunshade,,
,,,,,,1 Reifen ist nicht Teil des Leasingumfangs,1 tires is not part of the leasing circumference,,
,,,,,,"Einschluesse, Lackstrucktur","Sleep, varnish",,
,,,,,,1 Felge ist nicht Teil des Leasingumfangs,1 rim is not part of the leasing circumference,,
,,,,,,Folie,foil,,
,,,,,,OElverlust pruefen. Folgekosten moeglich,Oil loss Prue. Subsequent costs possible,,
,,,,,,in 21 Tagen,in 21 days,,
,,,,,,Beide,Both,,
,,,,,,Beulen,Bump,,
,,,,,,Quertraverse,Cross-string,,
,,,,,,Eingeschnitten,Cut,,
,,,,,,Material Abtragung,Material removal,,
,,,,,,"Motorhaube, Dachholm links, Dach und Heckspoiler oben","Bonnet, roof holly left, roof and rear spoiler above",,
,,,,,,Unterschiedliche Hersteller,Different manufacturers,,
,,,,,,Delle Gebrauchsspur,Delle,,
,,,,,,#NAME?,#NAME?,,
,,,,,,#NAME?,#NAME?,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Zwei unterschiedliche Marken,Two different brands,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Lackmangel,Lack of paint,,
,,,,,,Mit Korrosionsansatz,With corrosion,,
,,,,,,Gepaeckmanagment packet fehlt,Patchmanagment Packet is missing,,
,,,,,,Alle Felgen verkratzt/ verschuerft,All rims scratched / shot,,
,,,,,,Einseitig abgelaufen,Unilaterally expired,,
,,,,,,"Motor Notlauf, Vorgluehkontrollleucht blinkt","Engine emergency, preliminary control light flashes",,
,,,,,,Tragbild sehr schlecht,Load picture very bad,,
,,,,,,Blende zur Fensterscheibe Bedienung,Aperture to the window washer operation,,
,,,,,,Taster Abrieb,Push button abrasion,,
,,,,,,#NAME?,#NAME?,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Mit knick,Knot,,
,,,,,,Mind. 21 Dellen,Mind. 21 dents,,
,,,,,,Koffer,suitcase,,
,,,,,,Rueckleuchte links,Refreck light left,,
,,,,,,Wasserfangleiste,Water trim,,
,,,,,,Klappt nicht aus,Does not work out,,
,,,,,,Pladtikblende,Plague,,
,,,,,,ueber Kante,About edge,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Wolkenbildung,Cloud formation,,
,,,,,,7 Dellen,7 dents,,
,,,,,,Nicht in Ausstattung,Not in equipment,,
,,,,,,verformung,deformation,,
,,,,,,Lackfehler mit schlechter Abrisskante,Paint error with bad demolition edge,,
,,,,,,Im Sichtbereich,In the field of view,,
,,,,,,Lack blueht auf,Lacquer is blowing,,
,,,,,,04/ 2020,04/2020,,
,,,,,,Auf Kante,On edge,,
,,,,,,14 Dellen (ggf. Folgekosten moeglich),14 dents (possibly follow-up costs possible),,
,,,,,,Kein Servicenachweis vorhanden,No service report available,,
,,,,,,Feine kratzer,Fine scratches,,
,,,,,,Blende links,Hide left,,
,,,,,,Kante,Edge,,
,,,,,,Groß,Large,,
,,,,,,Garantie/Kulanz,Warranty / goodwill,,
,,,,,,Ca 12 bis 15 dellen,About 12 to 15 dents,,
,,,,,,Mittelstueck,Center,,
,,,,,,Undnstark verschmutzt,Undnsy dirty,,
,,,,,,W&V Vertrag,W & V contract,,
,,,,,,Reifen Clever,Tire clever,,
,,,,,,Polieren,polishing,,
,,,,,,Links aussen,Left outside,,
,,,,,,Abdeckung rechts Kratzer,Cover right scratches,,
,,,,,,Hinten links hintere Scheibe,Rear slice rear left,,
,,,,,,Hinten rechts hintere Scheibe,Rear rear slice,,
,,,,,,Insektenanhaftungen,Insect adhesion,,
,,,,,,Blende Einstieg,Hide entry,,
,,,,,,2 Pirelli Reifen der 2. Radsatz haben keine Seal Technologie,2 Pirelli tires of the 2nd wheelset have no Seal technology,,
,,,,,,Lackkante am Stoßfaenger hinten. Schleifriefen.,Lacquer edge at the shock graft rear. Grinding letters.,,
,,,,,,"Wellig, Orangenhaut, lackstand unruhig.","Wavy, orange skin, lacquer restless.",,
,,,,,,Grose tiefe Delle,Grose deep delle,,
,,,,,,Winter,winter,,
,,,,,,Sommerreifen auf Leichtmetallfelgen montieren,Mount summer tires on light metal rims,,
,,,,,,5,5,,
,,,,,,Und Delle,And delle,,
,,,,,,07/19/22,07/19/22,,
,,,,,,Inspektion in 7 Tagen,Inspection in 7 days,,
,,,,,,Mit Lackabloesung,Lacquer,,
,,,,,,Einstiegsleiste hi re,Starting bar Hi Re,,
,,,,,,Logo fehlt,Logo is missing,,
,,,,,,Beginnende Korossion,Beginning corosion,,
,,,,,,Druckstelle sichtbar,Printing point visible,,
,,,,,,Schleifspuren der Instandsetzung erkennbar,Grinding tracks of repair recognizable,,
,,,,,,Innenraum,inner space,,
,,,,,,Daempfer/Mechanik oeffnet nicht bis Endstellung,Daemfer / mechanism does not open up to end position,,
,,,,,,inkl. Polster,including upholstery,,
,,,,,,Anaetzungen und 15 Dellen,Positions and 15 dents,,
,,,,,,Flaschenoeffner,Bottle opener,,
,,,,,,Aussenschulter abgefahren,Exterior shoulder,,
,,,,,,Inspektionsservice,Inspection Service,,
,,,,,,Kontur nicht wiederhergestellt,Contour not restored,,
,,,,,,>2mm,> 2mm,,
,,,,,,Chromblende,Chrome,,
,,,,,,"Dach, Heckspoiler ca. 30 Dellen","Roof, rear spoiler about 30 dents",,
,,,,,,Und Polieren,And polishing,,
,,,,,,8,8th,,
,,,,,,"Lack matt, Orangenhaut","Paint Matt, orange skin",,
,,,,,,4,4,,
,,,,,,Keine Sommerreifen in V,No summer tires in V,,
,,,,,,Schalter VL und VR,Switch VL and VR,,
,,,,,,Verharzt,Devotter,,
,,,,,,Winterreifen montiert,Winter tires mounted,,
,,,,,,Delle + Kratzer,Delle + scratches,,
,,,,,,Dellen/druecken,Dents / Protect,,
,,,,,,Aufhaengung links fehlt,Waiting left is missing,,
,,,,,,Falsch montiert.,Incorrectly mounted.,,
,,,,,,Sommerradsatz lose,Summer wheelset loose,,
,,,,,,Toenungsfolie beschaeftigt,Tenting film acceded,,
,,,,,,5 Dellen,5 dents,,
,,,,,,VL und VR,VL and VR,,
,,,,,,Winterreifen. Profiltiefe unter 4mm.,Winter tires. Profile depth under 4mm.,,
,,,,,,Lackschaden,Lacquer,,
,,,,,,Schleifen/Polieren.Folgekosten moeglich.,Grinding / polishing. Exercise costs possible.,,
,,,,,,unzureichendes Tragbild,Insufficient support view,,
,,,,,,Baumharz Polieren Kostenerweiterung moeglich,Tree resin polishing cost expansion possible,,
,,,,,,Kante vorne.,Edge front.,,
,,,,,,mit Korrosion.,With corrosion.,,
,,,,,,Lackverschmutzung.Schleifen/Polieren.Folgekosten moeglich.,Paint pollution. Grinding / polishing. Exercises possible.,,
,,,,,,Ladekante.,Loading edge.,,
,,,,,,Nicht im Leasingumfang enthalten,Not included in the leasing circumference,,
,,,,,,Am knick,On the knick,,
,,,,,,Ca 10 dellen,About 10 dents,,
,,,,,,Kannte,Knew,,
,,,,,,Regalsystem,Shelf system,,
,,,,,,Schonbezuege Sitze vorn,Sliced ​​inspection seats,,
,,,,,,"Falscher Traglastindex, 91 statt 95","False load index, 91 instead of 95",,
,,,,,,"Nicht fachgerecht lackiert, wellig, Orangenhaut","Not painted properly, wavy, orange skin",,
,,,,,,Entriegelung,Unlocking,,
,,,,,,Korrosionsbildung,Corrosion,,
,,,,,,3.2019,3.2019,,
,,,,,,Oberteil,Top,,
,,,,,,Mehrkosten moeglich /,Additional costs possible /,,
,,,,,,"1x Delle, kleiner Kratzer Gebrauchtspur","1x delle, small scratch used track",,
,,,,,,Kabel Marderschaden evtl. Mehrkosten,Cable marten damage possibly additional costs,,
,,,,,,8.19,8.19,,
,,,,,,Kratzer / Knick,Scratch / kink,,
,,,,,,diverse Steinschlaege mit Rissbildung,Various stone slides with cracking,,
,,,,,,Nummerschildhalterung,Number plate holder,,
,,,,,,GTD Logo fehlt,GTD logo is missing,,
,,,,,,Sanft instandsetzen + auslegen und polieren,Soft repair + laying out and polish,,
,,,,,,Inspektion ohne OElservice,Inspection without oelservice,,
,,,,,,u. kl Riss,u. kl crack,,
,,,,,,u. leicht deformiert,u. slightly deformed,,
,,,,,,leicht deformiert,slightly deformed,,
,,,,,,Tuerverkleidung VL,Tuerverklung VL,,
,,,,,,Unterschiedlich abgefahren,Differentiated,,
,,,,,,Schließteil B Saeule links,Closing part B Satoe Links,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,08/19/22,08/19/22,,
,,,,,,Tragbild beschaedigt,Load picture damaged,,
,,,,,,Anaetzung durch Vogelkot und,Completion by birdcot and,,
,,,,,,Und Delle.,And delle.,,
,,,,,,2x mit Rissbildung,2x with cracking,,
,,,,,,und Tuergriff,and tu,,
,,,,,,groesser 3mm,Groove 3mm,,
,,,,,,Knoepfe fuer Hundematte,Knoepfe for dog mat,,
,,,,,,U Rechts,U,,
,,,,,,Nicht fachgerecht repariert,Not properly repaired,,
,,,,,,Keine Polymerreifen,No polymer tires,,
,,,,,,Sommer Reifen 205/55 R16 91V fehlen,Summer tires 205/55 R16 91V missing,,
,,,,,,Dellen.,Dellen.,,
,,,,,,"verkratzt, verformt, Lackbruch.","Scratched, deformed, lacquer break.",,
,,,,,,mit Unterrosttung. Kante vorne.,With bustling. Edge front.,,
,,,,,,Kratzer. mit Korrosion.,Scratch. With corrosion.,,
,,,,,,Gechwindigkeitsindex nicht korrekt.,Chargency index not correct.,,
,,,,,,Hohe Anzahl an Lackeinschluessen/ Finish durchfuehren,High number of paint influencing / finish through,,
,,,,,,Lackeinschluesse/ Finish durchfuehren,Paint influence / finish through,,
,,,,,,Zu hoher Spachtelanteil; Einrueche zur Folge,Too high spatula content; Einrueche,,
,,,,,,Reifen 225/55 R16 Y,Tire 225/55 R16 Y,,
